iter	MultiClass
0	2.317674229
1	2.224971525
2	2.10828422
3	1.982070969
4	1.849688529
5	1.78447322
6	1.715060902
7	1.61831962
8	1.543166902
9	1.481645485
10	1.409465416
11	1.325616762
12	1.29675012
13	1.253229732
14	1.219139746
15	1.187178154
16	1.156340068
17	1.121259625
18	1.082421503
19	1.047062615
20	1.020075043
21	1.002722488
22	0.9729748039
23	0.9536404432
24	0.9302190684
25	0.9170547902
26	0.8990150299
27	0.8763712424
28	0.845241176
29	0.8375269523
30	0.8142510537
31	0.7895376872
32	0.7775371919
33	0.7674483527
34	0.758222359
35	0.7452381116
36	0.7333599497
37	0.7293484997
38	0.7160579639
39	0.7021590461
40	0.685287445
41	0.6786834945
42	0.6664684497
43	0.6585049136
44	0.652836867
45	0.6452431635
46	0.6345798154
47	0.6300534281
48	0.6236674192
49	0.6133985504
50	0.6096833876
51	0.6009672595
52	0.5891596635
53	0.5837088207
54	0.5790150438
55	0.5741936421
56	0.5703869363
57	0.5645093989
58	0.5596426838
59	0.5557200282
60	0.5495838501
61	0.5462101314
62	0.542785995
63	0.5353692211
64	0.5230243216
65	0.514968986
66	0.507307668
67	0.4935637021
68	0.4871521635
69	0.4832955115
70	0.4797687075
71	0.4754889701
72	0.4703628887
73	0.4589395428
74	0.4503934121
75	0.446903681
76	0.4394986925
77	0.4299663216
78	0.4202883644
79	0.4164049488
80	0.4112362214
81	0.4053137302
82	0.4024256946
83	0.3989495327
84	0.390245707
85	0.3839040434
86	0.3815864751
87	0.3780861211
88	0.3735633533
89	0.3663144907
90	0.3609413933
91	0.352872572
92	0.344362027
93	0.3405511658
94	0.3388036833
95	0.3336234479
96	0.3275415132
97	0.3231036054
98	0.3188121467
99	0.3119328592
100	0.3052307966
101	0.3020430428
102	0.2984336689
103	0.2940439742
104	0.2888195482
105	0.2847608881
106	0.2813879562
107	0.2769270099
108	0.2745151924
109	0.2692606504
110	0.2664964323
111	0.2620138767
112	0.2601324836
113	0.2569234566
114	0.2550766597
115	0.2523453719
116	0.2487296025
117	0.2472903173
118	0.2437146419
119	0.2408927853
120	0.2385259191
121	0.2361419375
122	0.2332155171
123	0.2297705747
124	0.228031055
125	0.2258928055
126	0.2242788048
127	0.2219188487
128	0.2199236669
129	0.21763455
130	0.2153329503
131	0.212309292
132	0.2088746605
133	0.2073249738
134	0.2049457618
135	0.2017039529
136	0.2003389012
137	0.1956146298
138	0.1929493269
139	0.1911143362
140	0.1882285175
141	0.186500037
142	0.1830937259
143	0.1815021481
144	0.1797146597
145	0.1777591341
146	0.1764274305
147	0.1743307657
148	0.1722439397
149	0.170608412
150	0.1687906225
151	0.1682735734
152	0.1665660167
153	0.1654187563
154	0.1639139626
155	0.1617141865
156	0.1605221346
157	0.1599623195
158	0.1587125541
159	0.1564808158
160	0.1543747188
161	0.1522347466
162	0.1504566233
163	0.1496607676
164	0.1486734003
165	0.147088007
166	0.14588298
167	0.1449568175
168	0.1440673736
169	0.1429271273
170	0.1418654369
171	0.1405742812
172	0.1392906077
173	0.1381912181
174	0.1355095196
175	0.1340495714
176	0.1331530497
177	0.1321778458
178	0.1316106693
179	0.1308026081
180	0.1300569575
181	0.1290320127
182	0.1279468119
183	0.1272112177
184	0.1264236592
185	0.1249436976
186	0.1236166799
187	0.1228692686
188	0.1217462366
189	0.1212978775
190	0.1198231331
191	0.1188399114
192	0.1174733428
193	0.1161033705
194	0.1154084568
195	0.1149123412
196	0.1144806902
197	0.1137688753
198	0.1127298164
199	0.1119227545
200	0.1110940332
201	0.1105961516
202	0.109932916
203	0.109462745
204	0.1089301148
205	0.1072814303
206	0.1062184941
